No Threads		   sequential time			   with threads
1			4301228				4607065
2			6910501				5002977
3			5533893				4690061
4			9900379				7481256
5			13084246				9909198
6			10568219				10580389
7			18531913				14963133
8			20763384				14960533
9			23536861				18429718
10			22968275				15469220
11			18674687				16961254
12			20611551				18742744
13			29792622				16730454
14			24191921				19851315
15			25771821				20866570
16			31949045				21784749
17			29235947				22521268
18			31961967				24662143
19			32457356				23521173
20			34999052				21373149
21			36349573				26672353
22			38311895				26326949
23			40417951				29285577
24			41398618				27782824
25			43070913				31941999
26			45372961				29077946
27			46012853				26171065
28			49074017				35773968
29			55467511				30944973
30			52066263				33885862
31			53556346				36263130
32			61364555				35712364
33			57095994				35121491
34			59522706				37078594
35			59610783				40643564
36			63077839				41492337
37			65327269				42205045
38			64947006				44289414
39			67023853				43599323
40			73885039				45026300
41			78866391				45562891
42			73374538				44982396
43			74903261				47531683
44			77769933				51292577
45			80193866				53734138
46			80052751				52701864
47			83403734				58752886
48			96414207				54017798
49			98076162				57947937
50			104505748				53117261
51			100611240				63316549
52			92163114				59163893
53			91394898				63209324
54			95611531				62081864
55			95508670				61696836
56			100895846				62820098
57			106544027				64875966
58			105221585				60068258
59			110448015				68855991
60			106042179				71009296
61			109029315				67199590
62			111574435				68934003
63			111437231				67382872
64			110639265				69809966
65			115806897				74932770
66			116015239				73075496
67			119052186				76711637
68			120817189				74324882
69			129398931				72673465
70			120967462				77498923
71			121885371				80277467
72			128240503				77449562
73			130506564				82445062
74			130562702				78624660
75			130637928				78849671
76			136186599				84333177
77			139546040				85267757
78			135686968				82155883
79			142396305				91410297
80			141265575				87782698
81			143852474				90021825
82			141389271				88699234
83			150678256				86429823
84			146021499				92418941
85			146316727				90790050
86			149165895				92417580
87			157993190				100659270
88			157397526				95553792
89			156684076				96601616
90			157296184				95589409
91			161324119				100218858
92			160583730				100405701
93			162193354				100044215
94			167136490				103670777
95			177634605				101611406
96			177783038				103309289
97			170406703				103366419
98			169966133				105300505
99			173694691				107346217
100			180741013				111318404
101			174493182				109258433
102			175964668				115428656
103			183835068				114397308
104			181038724				107368754
105			184074723				114553415
106			188534250				115622338
107			190656262				109948733
108			195073774				120175083
109			195541784				119029152
110			194204171				113654703
111			197971217				117478899
112			197680030				122202635
113			198322355				122973493
114			201223765				115865908
115			201320091				124718827
116			204746535				128443989
117			205978879				123110628
118			204935753				120339587
119			208540288				127793458
120			214499243				124780097
121			214533721				130399176
122			215348638				127621887
123			219981797				126969544
124			218097198				126951155
125			222920499				129820253
126			224765302				134370380
127			223835652				141411300
128			222035781				139503424
129			228847418				143847059
130			228577809				140689037
131			227968115				140288152
132			231956517				146388463
133			231614191				142150366
134			231642349				138770698
135			238455911				145243295
136			241617688				144509358
137			237280221				144545306
138			244470517				148475307
139			246397567				147546102
140			247169895				148287131
141			247802336				148782843
142			251289141				155629716
143			250260705				150661810
144			252014443				155349249
145			252189536				148475268
146			257302521				153003282
147			261514846				152889176
148			258383848				159957769
149			262763076				160551589
150			268017237				162544496
151			267169312				165324403
152			270746855				164516258
153			266415103				158063760
154			271937278				168433228
155			272743855				170859839
156			272923581				161905683
157			280112052				170404712
158			276024914				166902779
159			279371757				171930301
160			276441464				171463824
161			290777267				165681415
162			287537961				176758311
163			283194625				175809899
164			282486826				170801381
165			285977574				169583240
166			292602831				182814187
167			301758398				177118635
168			295697968				178610600
169			299340793				182381574
170			303770101				179357662
171			302102074				176459532
172			309255481				187493232
173			300103711				191130566
174			305979331				188819902
175			312151244				179852832
176			312788358				187680235
177			310218068				186445619
178			319606076				184969359
179			314227301				188652094
180			320542325				192495720
181			319295082				200183912
182			320131077				199913139
183			322286027				186799330
184			325413970				189931040
185			322855781				195580650
186			326904117				201009783
187			332327804				195794658
188			328806847				194997435
189			332549163				197584562
190			332146262				207393265
191			333678154				209164184
192			338740463				212859401
193			337627033				205884882
194			343041135				202069190
195			339009966				198268273
196			351379338				215437423
197			348485755				207352104
198			349169136				201205127
199			349098159				202914405
200			351751652				202356098
